"","Country","NH_multihazard_risk","NH_multihazard_risk_norm"
"1","AFG",3.42897593141229,8.57243982853073
"2","ALB",3.63424118566428,9.0856029641607
"3","DZA",3.15687305999531,7.89218264998827
"4","ASM",2.37956557896877,5.94891394742193
"5","AND",1.8612097182042,4.6530242955105
"6","AGO",2.98036443068489,7.45091107671223
"7","AIA",1.76801043048723,4.42002607621806
"8","ATG",2.42647818434255,6.06619546085639
"9","ARG",4,10
"10","ARM",3.53845681626699,8.84614204066747
"11","ABW",1.73205080756888,4.33012701892219
"12","AUS",3.65877380524987,9.14693451312469
"13","AUT",3.33702088205365,8.34255220513412
"14","AZE",3.53845681626699,8.84614204066747
"15","BHS",1.64375182951723,4.10937957379306
"16","BHR",1.36426160182137,3.41065400455341
"17","BGD",3.66925901856961,9.17314754642402
"18","BRB",2.05976714390712,5.14941785976779
"19","BLR",2.90072293183791,7.25180732959478
"20","BEL",2.70192007704123,6.75480019260307
"21","BLZ",3.32645380815377,8.31613452038443
"22","BEN",2.84699562850583,7.11748907126456
"23","BMU",1.64375182951723,4.10937957379306
"24","BTN",3.41347367369015,8.53368418422539
"25","BOL",3.85871451984124,9.64678629960309
"26","BIH",3.25899644443769,8.14749111109423
"27","BWA",2.87037777576898,7.17594443942245
"28","BVT",2.0800838230519,5.20020955762976
"29","BRA",3.19427550549516,7.98568876373789
"30","IOT",2.22064303492292,5.5516075873073
"31","VGB",1.84218488139299,4.60546220348246
"32","BRN",2.67028272508063,6.67570681270156
"33","BGR",3.53602086097445,8.84005215243613
"34","BFA",2.69180038526471,6.72950096316178
"35","BDI",2.58666719213051,6.46666798032627
"36","KHM",2.91896021136289,7.29740052840723
"37","CMR",3.4822022531845,8.70550563296124
"38","CAN",3.43533582086846,8.58833955217115
"39","CPV",1.91947121957741,4.79867804894351
"40","CYM",1.95797309110152,4.8949327277538
"41","CAF",3.28134142403055,8.20335356007638
"42","TCD",2.59367910930202,6.48419777325505
"43","CHL",3.88656663145229,9.71641657863074
"44","CXR",1.81712059283214,4.54280148208035
"45","CCK",1.44224957030741,3.60562392576852
"46","COL",3.75572364264683,9.38930910661706
"47","COM",2.04329209248265,5.10823023120663
"48","COG",2.75743141068346,6.89357852670864
"49","COK",2.28942848510666,5.72357121276666
"50","CRI",3.56432662030173,8.91081655075432
"51","HRV",3.36485201215954,8.41213003039884
"52","CUB",3.28750365903445,8.21875914758613
"53","CYP",2.79375509213377,6.98438773033443
"54","CZE",3.14922021251689,7.87305053129223
"55","CIV",2.84699562850583,7.11748907126456
"56","COD",2.8301698482469,7.07542462061725
"57","DNK",2.02634602718282,5.06586506795705
"58","DJI",2.60103189624058,6.50257974060144
"59","DMA",2.47271953183691,6.18179882959228
"60","DOM",3.42353971881941,8.55884929704852
"61","ECU",3.10881256354184,7.7720314088546
"62","SSD",2.635961258426,6.58990314606501
"63","SLV",3.89674443955772,9.74186109889431
"64","GNQ",2.8958462364668,7.23961559116701
"65","ERI",3.06116472899939,7.65291182249846
"66","EST",2.41369038206807,6.03422595517016
"67","ETH",3.4741458779614,8.68536469490351
"68","FLK",1.8612097182042,4.6530242955105
"69","FRO",1.43096908110526,3.57742270276314
"70","FJI",3.22554299071681,8.06385747679201
"71","FIN",1.56508458007329,3.91271145018322
"72","FRA",3.32645380815377,8.31613452038443
"73","GUF",2.70192007704123,6.75480019260307
"74","PYF",2.7374762132844,6.84369053321101
"75","ATF",1.317980629213,3.29495157303251
"76","GAB",2.44056987174562,6.10142467936405
"77","GMB",2.72158000034875,6.80395000087188
"78","PSE",2.88449914061482,7.21124785153704
"79","GEO",3.66801617281868,9.17004043204671
"80","DEU",3.01567561237319,7.53918903093296
"81","GHA",3.4741458779614,8.68536469490351
"82","GIB",2.1192680453341,5.29817011333524
"83","GRC",3.66925901856961,9.17314754642402
"84","GRL",2.03964890265551,5.09912225663876
"85","GRD",2.11972393995046,5.29930984987615
"86","GLP",2.46847960876337,6.17119902190842
"87","GUM",2.3284355309218,5.82108882730449
"88","GTM",3.89674443955772,9.74186109889431
"89","GGY",1.73851050644476,4.34627626611189
"90","GIN",3.3211030761983,8.30275769049576
"91","GUY",2.49146187923103,6.22865469807759
"92","HTI",3.32645380815377,8.31613452038443
"93","HMD",1.43096908110526,3.57742270276314
"94","VAT",2,5
"95","HND",3.89674443955772,9.74186109889431
"96","HUN",3.20265777111539,8.00664442778849
"97","ISL",2.41369038206807,6.03422595517016
"98","IND",3.65877380524987,9.14693451312469
"99","IDN",3.79615430680601,9.49038576701503
"100","IRN",3.79615430680601,9.49038576701503
"101","IRQ",2.6699537899753,6.67488447493824
"102","IRL",2.28942848510666,5.72357121276666
"103","IMN",2.29440538087975,5.73601345219939
"104","ISR",3.23212109295947,8.08030273239866
"105","ITA",3.66925901856961,9.17314754642402
"106","JAM",3.28750365903445,8.21875914758613
"107","JPN",3.89674443955772,9.74186109889431
"108","JEY",1.91947121957741,4.79867804894351
"109","JOR",3.41347367369015,8.53368418422539
"110","KAZ",3.24477920722196,8.11194801805489
"111","KEN",3.17610606404788,7.94026516011971
"112","KIR",1.76922840813349,4.42307102033373
"113","KWT",2.1689435423954,5.42235885598849
"114","KGZ",2.87037777576898,7.17594443942245
"115","LAO",2.97819064943622,7.44547662359054
"116","LVA",2.29440538087975,5.73601345219939
"117","LBN",3.25899644443769,8.14749111109423
"118","LSO",2.41369038206807,6.03422595517016
"119","LBR",2.55303601401848,6.38259003504621
"120","LBY",2.49146187923103,6.22865469807759
"121","LIE",2.69601230919456,6.74003077298639
"122","LTU",2.29440538087975,5.73601345219939
"123","LUX",3.06439349308142,7.66098373270354
"124","MAC",2.36297040916991,5.90742602292477
"125","MDG",3.06116472899939,7.65291182249846
"126","MWI",3.36485201215954,8.41213003039884
"127","MYS",2.9503830505355,7.37595762633874
"128","MDV",1.31607401295249,3.29018503238123
"129","MLI",2.59367910930202,6.48419777325505
"130","MLT",2.2456485239871,5.61412130996775
"131","MHL",2.04767251107922,5.11918127769805
"132","MTQ",2.79375509213377,6.98438773033443
"133","MRT",3.07492535515154,7.68731338787885
"134","MUS",2.37956557896877,5.94891394742193
"135","MYT",1.87614254491239,4.69035636228097
"136","MEX",4,10
"137","FSM",2.37956557896877,5.94891394742193
"138","MDA",3.20265777111539,8.00664442778849
"139","MCO",2.2456485239871,5.61412130996775
"140","MNG",3.58698972131317,8.96747430328293
"141","MSR",1.55184557391536,3.8796139347884
"142","MAR",3.51991084883033,8.79977712207582
"143","MOZ",3.42353971881941,8.55884929704852
"144","MMR",3.47231748460708,8.68079371151771
"145","NAM",2.86193816221051,7.15484540552628
"146","NRU",1.69838132956495,4.24595332391238
"147","NPL",3.41347367369015,8.53368418422539
"148","NLD",2.59455793396046,6.48639483490116
"149","NCL",2.86193816221051,7.15484540552628
"150","NZL",3.31101311953924,8.27753279884811
"151","NIC",3.65877380524987,9.14693451312469
"152","NER",2.37841423000544,5.9460355750136
"153","NGA",3.06734937367712,7.66837343419279
"154","NIU",2.04767251107922,5.11918127769805
"155","NFK",1.61887040686057,4.04717601715142
"156","MNP",2.67183396507087,6.67958491267717
"157","NOR",2.18857476102454,5.47143690256135
"158","OMN",2.98036443068489,7.45091107671223
"159","PAK",3.65877380524987,9.14693451312469
"160","PLW",2.0800838230519,5.20020955762976
"161","PAN",3.22554299071681,8.06385747679201
"162","PNG",3.43533582086846,8.58833955217115
"163","PRY",2.85232327045476,7.13080817613689
"164","PER",3.43533582086846,8.58833955217115
"165","PHL",3.89674443955772,9.74186109889431
"166","PCN",1.8612097182042,4.6530242955105
"167","POL",3.24477920722196,8.11194801805489
"168","PRT",3.51991084883033,8.79977712207582
"169","PRI",3.11543138864752,7.7885784716188
"170","QAT",1.86606598307361,4.66516495768404
"171","KOR",3.14227917840753,7.85569794601881
"172","ROU",3.53602086097445,8.84005215243613
"173","RUS",3.89674443955772,9.74186109889431
"174","RWA",2.88449914061482,7.21124785153704
"175","SHN",2.13982638786733,5.34956596966832
"176","KNA",2.21740488609733,5.54351221524333
"177","LCA",2.24661479079955,5.61653697699887
"178","VCT",2.11972393995046,5.29930984987615
"179","WSM",2.53917695148275,6.34794237870689
"180","SMR",2.15522885553986,5.38807213884965
"181","SAU",3.06116472899939,7.65291182249846
"182","SEN",3.07492535515154,7.68731338787885
"183","SYC",1.96259879303011,4.90649698257528
"184","SLE",2.9394689845512,7.34867246137799
"185","SGP",2.63214802590498,6.58037006476246
"186","SVK",3.33702088205365,8.34255220513412
"187","SVN",3.21662381520159,8.04155953800397
"188","SLB",2.87422218668489,7.18555546671222
"189","SOM",3.26026621792869,8.15066554482173
"190","ZAF",3.09411841113104,7.7352960278276
"191","SGS",1.94416129723967,4.86040324309916
"192","ESP",3.56520491593201,8.91301228983002
"193","LKA",2.78077834063182,6.95194585157955
"194","SUR",2.32461613047885,5.81154032619712
"195","SJM",1.44224957030741,3.60562392576852
"196","SWZ",2.97547565232898,7.43868913082245
"197","SWE",2.02634602718282,5.06586506795705
"198","CHE",3.02241878101881,7.55604695254702
"199","SYR",3.19427550549516,7.98568876373789
"200","TJK",3.13016916014657,7.82542290036644
"201","THA",3.66925901856961,9.17314754642402
"202","MKD",3.53602086097445,8.84005215243613
"203","TGO",3.25899644443769,8.14749111109423
"204","TKL",1.73205080756888,4.33012701892219
"205","TON",2.78392709181553,6.95981772953883
"206","TTO",3.42353971881941,8.55884929704852
"207","TUN",3.32645380815377,8.31613452038443
"208","TUR",3.88656663145229,9.71641657863074
"209","TKM",3.08442165081588,7.7110541270397
"210","TCA",1.37871570534173,3.44678926335432
"211","TUV",1.8612097182042,4.6530242955105
"212","UGA",3.01742239533905,7.54355598834763
"213","UKR",3.20265777111539,8.00664442778849
"214","ARE",2.78077834063182,6.95194585157955
"215","GBR",2.75743141068346,6.89357852670864
"216","TZA",3.17610606404788,7.94026516011971
"217","VIR",2.0530391109398,5.1325977773495
"218","USA",4,10
"219","URY",2.67068481190968,6.6767120297742
"220","UZB",3.36358566101486,8.40896415253714
"221","VUT",2.6699537899753,6.67488447493824
"222","VEN",3.77635004517961,9.44087511294902
"223","VNM",3.14227917840753,7.85569794601881
"224","WLF",2.6207413942089,6.55185348552224
"225","ESH",1.92935725992062,4.82339314980155
"226","YEM",3.47231748460708,8.68079371151771
"227","ZMB",3.11543138864752,7.7885784716188
"228","ZWE",3.292905106941,8.23226276735251
"229","MNE",3.25899644443769,8.14749111109423
"230","SRB",3.39364513723289,8.48411284308222
"231","HKG",2.70192007704123,6.75480019260307
"232","EGY",3.63424118566428,9.0856029641607
"233","SXM",NA,NA
"234","CHN",4,10
"235","TWN",3.52636501998408,8.81591254996021
