"","Countryname","Country","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning"
"126","Nicaragua","NIC",0.442,6.79425837320574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,0.04,3,NA
"127","Netherlands","NLD",0.155,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.03,3,NA
"128","Norway","NOR",0.149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,0.03,0.02,0.04,0.04,0.04,0.03,0.03,3,NA
"129","Nepal","NPL",0.536,9.04306220095694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.09,0.05,0.06,0.05,0.08,NA,NA,0.05,3,NA
"130","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","New Zealand","NZL",0.235,1.84210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Oman","OMN",0.293,3.22966507177033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.03,0.03,0.01,0,0,0,NA,0.03,3,NA
"133","Pakistan","PAK",0.435,6.62679425837321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.12,0.15,0.18,0.13,0.15,0.17,0.15,0.15,5,NA
"134","Panama","PAN",0.371,5.09569377990431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,NA,NA,NA,NA,NA,NA,-0.01,1,NA
"135","Peru","PER",0.436,6.65071770334928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Philippines","PHL",0.459,7.20095693779904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Papua New Guinea","PNG",0.607,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Poland","POL",0.191,0.789473684210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.05,3,NA
"140","Korea DPR","PRK",0.519,8.63636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Portugal","PRT",0.158,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03,3,NA
"142","Paraguay","PRY",0.379,5.28708133971292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.01,-0.01,-0.01,0.01,0.01,0.02,0.03,-0.01,1,NA
"143","Qatar","QAT",0.119,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,-0.01,-0.01,0,-0.01,0.01,-0.01,-0.01,1,NA
"144","Romania","ROU",0.261,2.46411483253589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Russian Federation","RUS",0.266,2.58373205741627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.04,0.05,0.05,0.05,0.05,NA,0.04,3,NA
"146","Rwanda","RWA",0.537,9.06698564593302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.13,0.14,0.17,0.16,0.15,0.14,0.05,0.14,5,NA
"147","Saudi Arabia","SAU",0.258,2.39234449760766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.07,0.06,0.14,0.14,0.13,0.13,0.13,0.06,5,NA
"148","Sudan","SDN",0.576,10,"Sudan",624,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",45255925.53269,8790357.10959,19.4236600094288,248703.1875,0.549548339963466,1894947.1642,4.18718022423652,0,0,-1.2212348639313,-0.450451660036534,-5.52891353483114,NA,15.2364797851923,"Not high risk",2021-02-01,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"149","Senegal","SEN",0.467,7.39234449760766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.02,0.04,0.05,0.04,0.04,0.04,0.02,1,NA
"150","Singapore","SGP",0.101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.04,3,NA
"151","Solomon Islands","SLB",0.54,9.13875598086125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Sierra Leone","SLE",0.561,9.64114832535885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"153","El Salvador","SLV",0.366,4.97607655502392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.03,3,10
"154","Somalia","SOM",0.775,10,"Somalia",0,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",12372753.03379,7663586.55312,61.9392186378467,0,0,2075529.8224,16.7750040490724,0,0,26.9069030566452,NA,-4.64729328719065,NA,45.1642145887743,"High risk",2021-02-01,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"155","Serbia","SRB",0.321,3.89952153110048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,0.04,0.04,0.03,0.03,0.03,0.03,0.04,3,NA
"156","South Sudan","SSD",0.752,10,"South Sudan",74,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",14183489.8064,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk",2020-06-01,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"157","Sao Tome and Principe","STP",0.501,8.20574162679426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Suriname","SUR",0.389,5.52631578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Slovakia","SVK",0.194,0.861244019138756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,0.03,0.02,0.01,0,0.01,0.01,0.03,3,NA
"160","Slovenia","SVN",0.167,0.21531100478469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0.03,0.03,0.04,0.04,0.03,0.02,0.03,3,NA
"161","Sweden","SWE",0.223,1.55502392344497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.03,3,NA
"162","Eswatini","SWZ",0.489,7.91866028708134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.05,0.04,0.04,0.04,NA,NA,0.05,3,NA
"163","Seychelles","SYC",0.25,2.20095693779904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Syria","SYR",0.416,6.17224880382775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"165","Chad","TCD",0.648,10,"Chad",319,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",16413356.613735,620937.6876,3.78312433107307,0,0,620937.6876,3.78312433107307,0,0,-0.683142592485746,NA,-0.683142592485746,NA,0,"Not high risk",2021-02-01,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Togo","TGO",0.521,8.68421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.02,-0.01,0.03,0.06,0.07,0.07,NA,-0.01,1,NA
"167","Thailand","THA",0.307,3.56459330143541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,0.01,0.02,0.01,0.02,0.02,0,1,NA
"168","Tajikistan","TJK",0.405,5.90909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Turkmenistan","TKM",0.295,3.27751196172249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Timor-Leste","TLS",0.547,9.30622009569378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,0.01,1,NA
"171","Tonga","TON",0.347,4.52153110047847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Trinidad and Tobago","TTO",0.279,2.89473684210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Tunisia","TUN",0.244,2.05741626794258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Turkey","TUR",0.177,0.454545454545453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.13,0.13,0.13,0.14,0.15,0.17,NA,0.13,5,NA
"175","Tuvalu","TUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Tanzania","TZA",0.564,9.71291866028708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.04,0.04,0.04,0.04,NA,NA,NA,0.04,3,NA
"177","Uganda","UGA",0.593,10,"Uganda",1201,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",45562762.44189,885717.9688,1.94395142289634,0,0,885717.9688,1.94395142289634,0,0,0,NA,1.94395142289634,NA,0,"Not high risk",2021-02-01,3,7,0.05,0.03,0.02,0.02,0.02,0,0,NA,0.02,1,NA
"178","Ukraine","UKR",0.254,2.29665071770335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Uruguay","URY",0.289,3.13397129186603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","United States of America","USA",0.166,0.191387559808613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.06,5,NA
"181","Uzbekistan","UZB",0.294,3.25358851674641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Saint Vincent and the Grenadines","VCT",0.345,4.47368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.01,NA,NA,NA,NA,NA,0.01,1,NA
"183","Venezuela","VEN",0.37,5.07177033492823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"184","Viet Nam","VNM",0.389,5.52631578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.12,0.12,0.12,0.12,0.11,0.09,0.07,0.12,5,NA
"185","Vanuatu","VUT",0.502,8.22966507177034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Samoa","WSM",0.292,3.20574162679426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,-0.01,-0.01,-0.01,-0.02,-0.06,-0.09,NA,-0.01,1,NA
"187","Yemen","YEM",0.604,10,"Yemen",1033,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",29841393.132476,29701473.476176,99.5311222378967,15182601.913676,50.8776579105249,29701473.476176,99.5311222378967,14461837.601176,48.4623406721497,0,49.8776579105249,0,47.4623406721497,0,"High risk",2021-02-01,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"188","South Africa","ZAF",0.385,5.43062200956938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,3,NA
"189","Zambia","ZMB",0.522,8.70813397129187,"Zambia",481,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",18888478.48934,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk",2017-10-01,1,3,0.17,0.17,0.16,0.16,0.16,0.14,0.15,0.17,0.16,5,NA
"190","Zimbabwe","ZWE",0.581,10,"Zimbabwe",553,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",17464726.41514,0,0,0,0,9041770.45378,51.7716123279308,0,0,-52.7382752305551,NA,3.14434230543655,NA,-51.7716123279308,"Not high risk",2021-02-01,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
