Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
AFG,0,0,10,8.60828673206077,High-Intensity Conflict,Not Fragile,1.330373045706655,0.7216573464121541
AGO,0,0,0,6.392891917821371,NA,Not Fragile,0,0.27857838356427417
ALB,0,0,0,5,NA,Not Fragile,0,2.535017907130773
ARE,0,0,0,NA,NA,Not Fragile,0,NA
ARG,0,0,0,0,NA,Not Fragile,0,-2.6071402910926547
ARM,0,0,0,0,High-Intensity Conflict,Not Fragile,0,-0.17000989972253178
ATG,0,0,0,NA,NA,Not Fragile,0,NA
AUS,0,0,0,NA,NA,Not Fragile,0,NA
AUT,0,0,0,0,NA,Not Fragile,0,-0.6850746184316011
AZE,0,0,10,0,High-Intensity Conflict,Not Fragile,1.9654741466040924,-0.5137758969041942
BDI,10,0,0,4.76011412923833,Medium-Intensity conflict,Not Fragile,-0.6364726838010836,-0.04797717415233412
BEL,0,0,0,5,NA,Not Fragile,0,2.2171121081235263
BEN,0,0,0,10,NA,Not Fragile,0,1.7488496631281765
BFA,10,0,10,6.205784216992045,Medium-Intensity conflict,Not Fragile,2.03427826532239,0.24115684339840904
BGD,0,0,0,10,NA,Not Fragile,0,1.0741138002325674
BGR,0,0,0,0,NA,Not Fragile,0,NA
BHR,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
BHS,0,0,0,0,NA,Not Fragile,0,-0.49540407221570343
BIH,0,0,1.6952912574299983,0,NA,Not Fragile,0.1695291257429999,-0.4272771810823557
BLR,0,0,0,0,NA,Not Fragile,0,-0.39609342292658023
BLZ,0,0,0,10,NA,Not Fragile,0,1.261160354433348
BOL,0,0,0,0,NA,Not Fragile,0,-0.3912877217032078
BRA,0,0,0,4.918946305820007,NA,Not Fragile,0,-0.016210738835998745
BRB,0,0,0,NA,NA,Not Fragile,0,NA
BRN,0,0,NA,NA,NA,Not Fragile,NA,NA
BTN,0,0,0,NA,NA,Not Fragile,0,NA
BWA,0,0,0,0,NA,Not Fragile,0,-0.8105676702112693
CAF,10,NA,8.476558377379803,7.476444503351108,Medium-Intensity conflict,NA,0.8476558377379804,0.49528890067022174
CAN,0,0,0,NA,NA,Not Fragile,0,NA
CHE,0,0,0,0,NA,Not Fragile,0,NA
CHL,0,0,0,0,NA,Not Fragile,0,-0.1432330115001026
CHN,0,0,0,9.610027952637147,NA,Not Fragile,0,0.9220055905274294
CIV,0,0,0,6.632686408117564,NA,Not Fragile,-0.44565583039743906,0.32653728162351275
CMR,10,0,10,4.1763195203528936,Medium-Intensity conflict,Not Fragile,1.6019556492212326,-0.1647360959294212
COD,10,0,10,7.736253832473198,Medium-Intensity conflict,Not Fragile,1.1418064842375164,0.5472507664946397
COG,10,0,10,0,High-Institutional and Social Fragility,Not Fragile,1.0122623397775035,-0.6189333982265228
COL,0,0,9.256171655313933,10,NA,Not Fragile,0.9256171655313933,2.5496963962199866
COM,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
CPV,0,0,0,NA,NA,Not Fragile,0,NA
CRI,0,0,0,0,NA,Not Fragile,0,-0.9104653047996105
CUB,0,0,0,0,NA,Not Fragile,0,-0.7316741451319873
CYP,0,0,NA,0,NA,Not Fragile,NA,-0.4272771810823557
CZE,0,0,0,0,NA,Not Fragile,0,NA
DEU,0,0,0,0,NA,Not Fragile,0,-0.6574935392821517
DJI,0,0,0,NA,NA,Not Fragile,0,NA
DMA,0,0,0,0,NA,Not Fragile,0,-0.43461349368017654
DNK,0,0,0,0,NA,Not Fragile,0,-0.48304589153964794
DOM,0,0,0,0,NA,Not Fragile,0,-1.574439261641737
DZA,0,0,0,0,NA,Not Fragile,0,-0.9999846174238476
ECU,0,0,0,0,NA,Not Fragile,0,-1.5706799567285559
EGY,0,0,0,0,NA,Not Fragile,0,-2.4344405667508333
ERI,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
ESP,0,0,0,0,NA,Not Fragile,0,-0.48304589153964794
EST,0,0,0,0,NA,Not Fragile,0,NA
ETH,10,0,7.504902060320009,10,Medium-Intensity conflict,Not Fragile,0.7504902060320009,1.5131047122080765
FIN,0,0,NA,0,NA,Not Fragile,NA,-0.48304589153964794
FJI,0,0,0,NA,NA,Not Fragile,0,NA
FRA,0,0,0,0,NA,Not Fragile,0,0.9576926164666428
FSM,10,NA,NA,NA,High-Institutional and Social Fragility,NA,NA,NA
GAB,0,0,0,0,NA,Not Fragile,0,0.2988474973642924
GBR,0,NA,0,0,NA,NA,0,0.11049778567973073
GEO,0,0,10,0,NA,Not Fragile,1.2471388556013376,-0.8123314077952393
GHA,0,0,0,5.313776162553781,NA,Not Fragile,0,0.06275523251075622
GIN,0,0,0,5.416858335751961,NA,Not Fragile,0,0.08337166715039221
GMB,0,0,0,0,NA,Not Fragile,0,-0.8012336167697754
GNB,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,0,-0.8308808838300304
GNQ,0,0,0,NA,NA,Not Fragile,0,NA
GRC,0,0,0,0,NA,Not Fragile,0,0.5138677004796817
GRD,0,0,0,NA,NA,Not Fragile,0,NA
GTM,0,0,0,0,NA,Not Fragile,0,-1.973748240780331
GUY,0,0,0,0,NA,Not Fragile,0,-0.7159684345607732
HND,0,0,10,3.1970440675296636,NA,Not Fragile,1.0915648462872956,-0.3605911864940673
HRV,0,0,0,5,NA,Not Fragile,0,1.7712783238624008
HTI,10,10,0,8.826693711395613,Medium-Intensity conflict,Fragile,0,0.7653387422791227
HUN,0,0,0,0,NA,Not Fragile,0,NA
IDN,0,0,0,3.756901845614377,NA,Not Fragile,0,-0.24861963087712474
IND,0,0,0,2.470873601622361,NA,Not Fragile,0,-0.5058252796755279
IRL,0,0,NA,0,NA,Not Fragile,NA,NA
IRN,0,0,0,6.448333861232434,NA,Not Fragile,0,0.28966677224648674
IRQ,10,10,0,2.751047782557081,Medium-Intensity conflict,Fragile,-1.2855425812055121,-0.4497904434885838
ISL,0,0,0,0,NA,Not Fragile,0,-0.5527707983925666
ISR,0,0,0,10,NA,Not Fragile,0,2.593307240002929
ITA,0,0,0,0,NA,Not Fragile,0,NA
JAM,0,0,0,0.4973067611974624,NA,Not Fragile,0,-0.9005386477605076
JOR,0,0,0,0,NA,Not Fragile,0,-0.8211981563503457
JPN,0,0,0,0,NA,Not Fragile,0,NA
KAZ,0,0,0,0,NA,Not Fragile,0,-0.7156919142553763
KEN,0,0,0,1.6280876234462465,NA,Not Fragile,0,-0.6743824753107508
KGZ,0,0,0,10,NA,Not Fragile,0,3.0564764541867
KHM,0,0,0,0,NA,Not Fragile,0,0.7817752624200754
KIR,10,0,NA,NA,High-Institutional and Social Fragility,Not Fragile,NA,NA
KNA,0,0,0,NA,NA,Not Fragile,0,NA
KOR,0,0,0,0,NA,Not Fragile,0,NA
KWT,0,0,0,0,NA,Not Fragile,0,-0.43461349368017654
LAO,0,0,0,NA,NA,Not Fragile,0,NA
LBN,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,0,-0.40272867861087824
LBR,0,0,0,0,NA,Not Fragile,0,0.14232237592649605
LBY,10,10,6.422773190305634,0,Medium-Intensity conflict,Fragile,0.6422773190305634,-1.9819565924161604
LCA,0,0,0,NA,NA,Not Fragile,0,NA
LIE,0,0,NA,NA,NA,Not Fragile,NA,NA
LKA,0,0,0,0,NA,Not Fragile,-1.525912797512429,-1.0940689011269114
LSO,0,0,0,0,NA,Not Fragile,0,0.6541008022457696
LTU,0,0,0,0,NA,Not Fragile,0,NA
LUX,0,0,NA,0,NA,Not Fragile,NA,NA
LVA,0,0,0,0,NA,Not Fragile,0,NA
MAR,0,0,0,10,NA,Not Fragile,0,1.9161139645305572
MDA,0,0,0,0,NA,Not Fragile,0,NA
MDG,0,0,0,6.905619665016883,NA,Not Fragile,0,0.3811239330033766
MDV,0,0,0,NA,NA,Not Fragile,0,NA
MEX,0,0,0,1.3155433162089185,NA,Not Fragile,0,-0.7368913367582164
MHL,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
MKD,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
MLI,10,10,10,4.925596440931891,Medium-Intensity conflict,Fragile,1.7496008717811562,-0.014880711813621892
MLT,0,0,0,0,NA,Not Fragile,0,NA
MMR,10,0,0,10,Medium-Intensity conflict,Not Fragile,-1.3479267734110076,2.427376335208541
MNE,0,0,0,0,NA,Not Fragile,0,-0.22965884051401983
MNG,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
MOZ,10,0,10,7.397157931904857,Medium-Intensity conflict,Not Fragile,2.0302800767022235,0.4794315863809715
MRT,0,0,0,0,NA,Not Fragile,0,-0.9444730356567677
MUS,0,0,0,NA,NA,Not Fragile,0,NA
MWI,0,0,0,6.83325308687923,NA,Not Fragile,0,0.36665061737584603
MYS,0,0,0,10,NA,Not Fragile,0,1.477990816428451
NAM,0,0,0,0,NA,Not Fragile,0,-0.7158395706253593
NER,10,0,10,10,Medium-Intensity conflict,Not Fragile,1.0633786943397732,1.1874901193378036
NGA,10,0,6.099471707998688,10,Medium-Intensity conflict,Not Fragile,0.6099471707998688,1.3623638135477714
NIC,0,0,0,0,NA,Not Fragile,0,-0.4669417183575585
NLD,0,0,0,0,NA,Not Fragile,0,-0.48304589153964794
NOR,0,0,0,0,NA,Not Fragile,0,-0.48304589153964794
NPL,0,0,0,0,NA,Not Fragile,0,-0.8786568169620138
NRU,0,0,NA,NA,NA,Not Fragile,NA,NA
NZL,0,0,0,NA,NA,Not Fragile,0,NA
OMN,0,0,0,0,NA,Not Fragile,0,NA
PAK,0,0,0,9.230921325241374,NA,Not Fragile,-0.8077564707857695,0.8461842650482748
PAN,0,0,0,0,NA,Not Fragile,0,0.5400988007103654
PER,0,0,0,10,NA,Not Fragile,0,1.324023471934378
PHL,0,0,3.783154163482161,1.678775928567994,NA,Not Fragile,0.378315416348216,-0.6642448142864011
PLW,0,0,NA,NA,NA,Not Fragile,NA,NA
PNG,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
POL,0,0,0,0,NA,Not Fragile,0,NA
PRK,0,0,0,10,NA,Not Fragile,0,1.8372999954325986
PRT,0,0,0,0,NA,Not Fragile,0,-0.7888106377466155
PRY,0,0,0,0,NA,Not Fragile,0,0.5225687273872773
QAT,0,0,0,0,NA,Not Fragile,0,NA
ROU,0,0,0,NA,NA,Not Fragile,0,NA
RUS,0,0,0,0,NA,Not Fragile,0,-1.9663268983684352
RWA,0,0,0,0,NA,Not Fragile,0,-0.1846467349474776
SAU,0,0,0,0,NA,Not Fragile,0,-1.7386277954914922
SDN,10,0,0,9.731771042725555,High-Institutional and Social Fragility,Not Fragile,-0.6802960174817637,0.9463542085451109
SEN,0,0,0,10,NA,Not Fragile,0,2.158040296045855
SGP,0,0,0,NA,NA,Not Fragile,0,NA
SLB,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
SLE,0,0,0,0,NA,Not Fragile,0,-0.5090368985024702
SLV,0,0,9.128624175582221,1.6607229054112551,NA,Not Fragile,0.9128624175582222,-0.6678554189177487
SOM,0,0,10,0,High-Intensity Conflict,Not Fragile,1.1058660653314456,-1.1027424412675126
SRB,0,0,0,0,NA,Not Fragile,-1.2133253527253185,-0.6370697692145918
SSD,10,10,0,10,Medium-Intensity conflict,Fragile,-1.1191873352362511,1.0242977940636324
STP,0,0,0,NA,NA,Not Fragile,0,NA
SUR,0,0,0,0,NA,Not Fragile,0,-0.6291592542783964
SVK,0,0,0,0,NA,Not Fragile,0,NA
SVN,0,0,0,0,NA,Not Fragile,0,NA
SWE,0,0,0,0,NA,Not Fragile,0,-0.48304589153964794
SWZ,0,0,0,0,NA,Not Fragile,0,0.8352040882359516
SYC,0,0,0,NA,NA,Not Fragile,0,NA
SYR,0,0,0,0,High-Intensity Conflict,Not Fragile,-0.6127617146657469,-1.530730398155788
TCD,10,0,10,10,Medium-Intensity conflict,Not Fragile,1.0277231751881997,2.075417425550451
TGO,0,0,0,0,NA,Not Fragile,0,-0.45192213878648924
THA,0,0,0,0,NA,Not Fragile,0,-1.0006346963605488
TJK,0,0,0,9.042903266698461,NA,Not Fragile,0,0.8085806533396924
TKM,0,0,0,NA,NA,Not Fragile,0,NA
TLS,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
TON,0,0,0,NA,NA,Not Fragile,0,NA
TTO,0,0,0,3.5661445315218856,NA,Not Fragile,0,-0.28677109369562287
TUN,0,0,0,10,NA,Not Fragile,0,1.0564435902367035
TUR,0,0,0,1.0392245390365868,NA,Not Fragile,0,-0.7921550921926828
TUV,10,0,NA,NA,High-Institutional and Social Fragility,Not Fragile,NA,NA
TZA,0,0,0,0,NA,Not Fragile,0,-0.09571556236801951
UGA,0,0,0,10,NA,Not Fragile,0,1.2243096011594827
UKR,0,0,0,4.0302107551702875,NA,Not Fragile,-1.3430592757424988,-0.19395784896594254
URY,0,0,0,0,NA,Not Fragile,0,-0.49509884067312965
USA,0,0,0,10,NA,Not Fragile,0,1.0932047887277003
UZB,0,0,0,0,NA,Not Fragile,0,-1.0268425165477013
VCT,0,0,0,NA,NA,Not Fragile,0,NA
VEN,10,0,0,0.6743346473904417,High-Institutional and Social Fragility,Not Fragile,0,-0.8651330705219118
VNM,0,0,0,NA,NA,Not Fragile,0,NA
VUT,0,0,NA,NA,NA,Not Fragile,NA,NA
WSM,0,0,NA,NA,NA,Not Fragile,NA,NA
YEM,0,0,10,3.4590057735033666,High-Intensity Conflict,Not Fragile,1.4237931816051559,-0.30819884529932673
ZAF,0,0,0,10,NA,Not Fragile,0,1.724806365351281
ZMB,0,0,0,0,NA,Not Fragile,0,-1.0258677773314937
ZWE,10,0,10,0,High-Institutional and Social Fragility,Not Fragile,2.041241452319315,-0.4758110701874858
